"Rank","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"72","","Sammy Watkins","KC","WR30","12","48","84","71.4","7.1","76.0","+4.0"
"73","","Matt Ryan","ATL","QB7","8","56","108","71.4","12.3","103.0","+30.0"
"74","","Lamar Miller","HOU","RB31","10","55","95","72.0","7.8","46.0","-28.0"
"75","","Jared Goff","LAR","QB8","12","54","106","73.2","9.6","114.0","+39.0"
"76","","Calvin Ridley","ATL","WR31","8","67","90","74.6","5.4","123.0","+47.0"
"77","","Demaryius Thomas","HOU","WR32","10","62","88","75.2","8.2","41.0","-36.0"
"78","","Jared Cook","OAK","TE7","7","21","121","76.0","25.4","182.0","+104.0"
"79","","Amari Cooper","DAL","WR33","8","62","114","76.6","5.8","34.0","-45.0"
"80","","Courtland Sutton","DEN","WR34","10","58","171","79.0","25.1","170.0","+90.0"
"81","","Matt Breida","SF","RB32","11","70","115","81.0","5.6","122.0","+41.0"
"82","","O.J. Howard","TB","TE8","5","69","99","81.8","6.7","167.0","+85.0"
"83","","Tyler Lockett","SEA","WR35","7","62","109","82.0","12.8","143.0","+60.0"
"84","","Michael Crabtree","BAL","WR36","10","42","101","82.8","6.9","62.0","-22.0"
"85","","Dion Lewis","TEN","RB33","8","51","99","83.2","14.2","57.0","-28.0"
"86","","Corey Davis","TEN","WR37","8","49","104","83.4","9.8","60.0","-26.0"
"87","","David Njoku","CLE","TE9","11","69","110","83.6","9.0","108.0","+21.0"
"88","","Devin Funchess","CAR","WR38","4","60","97","84.0","4.2","80.0","-8.0"
"89","","Chris Thompson","WAS","RB34","4","53","191","85.0","14.4","105.0","+16.0"
"90","","Kirk Cousins","MIN","QB9","10","61","108","85.2","14.9","87.0","-3.0"
"91","","Larry Fitzgerald","ARI","WR39","9","71","101","85.6","3.3","32.0","-59.0"
"92","","DeSean Jackson","TB","WR40","5","60","97","87.6","5.0","179.0","+87.0"
"93","","Sterling Shepard","NYG","WR41","9","71","99","92.0","4.8","101.0","+8.0"
"94","","Deshaun Watson","HOU","QB10","10","75","100","92.0","4.4","48.0","-46.0"
"95","","Geronimo Allison","GB","WR42","7","78","137","92.0","9.5","194.0","+99.0"
"96","","Jalen Richard","OAK","RB35","7","79","168","92.2","4.2","340.0","+244.0"
"97","","Jack Doyle","IND","TE10","9","69","130","94.6","4.6","104.0","+7.0"
"98","","Chris Godwin","TB","WR43","5","83","114","94.6","5.6","152.0","+54.0"
"99","","Carson Wentz","PHI","QB11","9","66","112","96.0","10.3","77.0","-22.0"
"100","","Ben Roethlisberger","PIT","QB12","7","87","116","103.4","3.8","97.0","-3.0"
"101","","Russell Wilson","SEA","QB13","7","73","116","104.0","10.0","52.0","-49.0"
"102","","Philip Rivers","LAC","QB14","8","98","112","105.8","4.1","106.0","+4.0"
"103","","Austin Ekeler","LAC","RB36","8","76","144","106.6","17.1","190.0","+87.0"
"104","","Peyton Barber","TB","RB37","5","89","142","107.6","9.2","102.0","-2.0"
"105","","Taylor Gabriel","CHI","WR44","5","72","200","108.0","14.1","312.0","+207.0"
"106","","Greg Olsen","CAR","TE11","4","62","140","108.6","25.3","56.0","-50.0"
"107","","Jordan Reed","WAS","TE12","4","98","136","108.6","11.5","82.0","-25.0"
"108","","Mitch Trubisky","CHI","QB15","5","83","117","110.4","5.0","158.0","+50.0"
"109","","Jordy Nelson","OAK","WR45","7","78","135","110.6","10.5","93.0","-16.0"
"110","","Duke Johnson","CLE","RB38","11","89","221","110.6","14.3","86.0","-24.0"
"111","","Doug Martin","OAK","RB39","7","93","155","112.6","8.4","202.0","+91.0"
"112","","Marquise Goodwin","SF","WR46","11","80","133","113.0","11.0","64.0","-48.0"
"113","","Mohamed Sanu","ATL","WR47","8","104","136","113.0","5.5","172.0","+59.0"
"114","","Matthew Stafford","DET","QB16","6","98","117","113.8","2.2","95.0","-19.0"
"115","","Ito Smith","ATL","RB40","8","102","132","115.2","9.9","",""
"116","","Andy Dalton","CIN","QB17","9","113","119","118.0","0.0","209.0","+93.0"
"117","","Christian Kirk","ARI","WR48","9","97","158","119.0","8.8","213.0","+96.0"
"118","","Evan Engram","NYG","TE13","9","92","139","119.6","10.6","63.0","-55.0"
"119","","Devante Parker","MIA","WR49","11","94","219","121.8","18.1","115.0","-4.0"
"120","","Eric Ebron","IND","TE14","9","110","139","121.8","11.4","187.0","+67.0"
"121","","Latavius Murray","MIN","RB41","10","69","129","122.0","2.7","137.0","+16.0"
"122","","Austin Hooper","ATL","TE15","8","110","139","125.0","9.8","217.0","+95.0"
"123","","Tre'Quan Smith","NO","WR50","6","104","171","125.2","14.9","240.0","+117.0"
"124","","Wendell Smallwood","PHI","RB42","9","96","243","125.4","18.7","341.0","+217.0"
"125","","Randall Cobb","GB","WR51","7","87","158","125.8","21.4","96.0","-29.0"
"126","","Keke Coutee","HOU","WR52","10","101","158","125.8","5.9","347.0","+221.0"
"127","","Nyheim Hines","IND","RB43","9","103","163","126.0","12.5","203.0","+76.0"
"128","","Royce Freeman","DEN","RB44","10","95","172","127.0","17.1","39.0","-89.0"
"129","","Kyle Rudolph","MIN","TE16","10","103","140","127.0","5.0","72.0","-57.0"
"130","","T.J. Yeldon","JAC","RB45","9","91","197","127.2","32.8","216.0","+86.0"
"131","","Mike Williams","LAC","WR53","8","114","152","132.6","7.6","154.0","+23.0"
"132","","Baker Mayfield","CLE","QB18","11","124","174","132.6","8.3","234.0","+102.0"
"133","","C.J. Uzomah","CIN","TE17","9","117","139","133.8","2.7","",""
"134","","Corey Clement","PHI","RB46","9","95","166","136.8","17.5","140.0","+6.0"
"135","","Dak Prescott","DAL","QB19","8","122","186","138.0","10.4","134.0","-1.0"
"136","","Frank Gore","MIA","RB47","11","107","239","138.4","9.0","221.0","+85.0"
"137","","Vance McDonald","PIT","TE18","7","135","161","139.0","0.9","215.0","+78.0"
"138","","Derrick Henry","TEN","RB48","8","125","164","139.4","7.8","40.0","-98.0"
"139","","Nelson Agholor","PHI","WR54","9","109","180","140.0","21.7","98.0","-41.0"
"140","","Carlos Hyde","JAC","RB49","9","119","210","141.0","16.9","61.0","-79.0"
"141","","Joe Flacco","BAL","QB20","10","126","159","142.6","8.1","231.0","+90.0"
"142","","Kenny Stills","MIA","WR55","11","113","187","143.6","10.8","110.0","-32.0"
"143","","Dede Westbrook","JAC","WR56","9","114","162","143.8","7.1","180.0","+37.0"
"144","","Robby Anderson","NYJ","WR57","11","104","157","144.0","7.6","89.0","-55.0"
"145","","Ryan Fitzpatrick","TB","QB21","5","119","324","146.2","24.9","370.0","+225.0"
"146","","Los Angeles (LAR)","","DST1","12","138","160","146.6","5.5","144.0","-2.0"
"147","","Alex Smith","WAS","QB22","4","132","165","147.2","1.6","121.0","-26.0"
"148","","Chicago (CHI)","","DST2","5","141","166","147.4","6.6","181.0","+33.0"
"149","","Donte Moncrief","JAC","WR58","9","118","162","149.0","6.1","227.0","+78.0"
"150","","Jamaal Williams","GB","RB50","7","132","190","150.8","6.9","74.0","-76.0"
"151","","Javorius Allen","BAL","RB51","10","125","216","151.4","22.6","205.0","+54.0"
"152","","Willie Snead","BAL","WR59","10","104","167","153.2","8.3","297.0","+145.0"
"153","","Baltimore (BAL)","","DST3","10","124","213","153.2","6.0","156.0","+3.0"
"154","","Quincy Enunwa","NYJ","WR60","11","109","200","153.8","17.6","237.0","+83.0"
"155","","D.J. Moore","CAR","WR61","4","113","222","153.8","28.0","132.0","-23.0"
"156","","Tyrell Williams","LAC","WR62","8","115","236","154.2","36.3","206.0","+50.0"
"157","","Jacksonville (JAC)","","DST4","9","143","169","154.6","5.0","130.0","-27.0"
"158","","Benjamin Watson","NO","TE19","6","145","178","156.4","5.2","193.0","+35.0"
"159","","Mike Davis","SEA","RB52","7","144","215","157.6","7.7","425.0","+266.0"
"160","","Marquez Valdes-Scantling","GB","WR63","7","90","201","158.4","19.8","447.0","+287.0"
"161","","Chris Hogan","NE","WR64","11","123","205","159.8","13.0","55.0","-106.0"
"162","","Derek Carr","OAK","QB23","7","124","176","160.2","9.3","131.0","-31.0"
"163","","Keelan Cole","JAC","WR65","9","126","194","160.4","10.0","125.0","-38.0"
"164","","Raheem Mostert","SF","RB53","11","122","226","163.8","23.7","",""
"165","","Ronald Jones II","TB","RB54","5","135","221","166.6","24.8","107.0","-58.0"
"166","","Minnesota (MIN)","","DST5","10","155","195","166.8","9.0","147.0","-19.0"
"167","","Theo Riddick","DET","RB55","6","144","188","168.6","16.9","146.0","-21.0"
"168","","Houston (HOU)","","DST6","10","145","182","171.6","8.6","163.0","-5.0"
"169","","Marcus Mariota","TEN","QB24","8","154","207","172.8","14.6","128.0","-41.0"
"170","","Hayden Hurst","BAL","TE20","10","150","249","173.2","12.6","219.0","+49.0"
"171","","Ricky Seals-Jones","ARI","TE21","9","150","185","173.2","10.3","196.0","+25.0"
"172","","Case Keenum","DEN","QB25","10","151","240","173.4","10.3","211.0","+39.0"
"173","","Eli Manning","NYG","QB26","9","138","191","174.0","3.0","189.0","+16.0"
"174","","Cole Beasley","DAL","WR66","8","137","205","174.4","14.4","242.0","+68.0"
"175","","Jamison Crowder","WAS","WR67","4","147","228","174.6","14.5","88.0","-87.0"
"176","","Josh Adams","PHI","RB56","9","128","299","174.8","38.7","",""
"177","","Denver (DEN)","","DST7","10","168","234","175.0","10.2","169.0","-8.0"
"178","","Giovani Bernard","CIN","RB57","9","128","183","175.6","7.4","133.0","-45.0"
"179","","David Moore","SEA","WR68","7","126","222","177.8","13.5","",""
"180","","Danny Amendola","MIA","WR69","11","152","210","178.0","17.9","168.0","-12.0"
"181","","Los Angeles (LAC)","","DST8","8","166","286","182.6","14.5","157.0","-24.0"
"182","","Stephen Gostkowski","NE","K1","11","176","186","182.6","2.1","124.0","-58.0"
"183","","Dallas Goedert","PHI","TE22","9","173","232","183.6","8.1","250.0","+67.0"
"184","","Chris Ivory","BUF","RB58","11","172","197","184.0","6.9","224.0","+40.0"
"185","","Ty Montgomery","BAL","RB59","10","170","221","184.2","15.4","127.0","-58.0"
"186","","C.J. Beathard","SF","QB27","11","159","240","184.4","29.0","412.0","+226.0"
"187","","Philadelphia (PHI)","","DST9","9","160","218","184.4","21.8","148.0","-39.0"
"188","","Justin Tucker","BAL","K2","10","173","238","185.0","7.3","135.0","-53.0"
"189","","Antonio Callaway","CLE","WR70","11","116","201","185.2","10.9","272.0","+83.0"
"190","","Kelvin Benjamin","BUF","WR71","11","153","219","188.0","16.0","109.0","-81.0"
"191","","Cameron Brate","TB","TE23","5","140","223","191.4","15.9","188.0","-3.0"
"192","","Paul Richardson","WAS","WR72","4","152","222","191.4","14.0","183.0","-9.0"
"193","","Spencer Ware","KC","RB60","12","156","271","191.6","35.7","222.0","+29.0"
"194","","Elijah McGuire","NYJ ","RB61","11","120","321","193.6","63.4","305.0","+111.0"
"195","","Chester Rogers","IND","WR73","9","167","210","194.0","12.2","346.0","+151.0"
"196","","Rashaad Penny","SEA","RB62","7","177","231","195.2","10.9","81.0","-115.0"
"197","","Chris Herndon IV","NYJ","TE24","11","173","232","195.6","16.2","479.0","+282.0"
"198","","Blake Bortles","JAC","QB28","9","149","265","196.0","26.5","208.0","+10.0"
"199","","Pierre Garcon","SF","WR74","11","179","222","197.6","2.9","92.0","-107.0"
"200","","Matt Bryant","ATL","K3","8","184","279","203.0","22.0","160.0","-40.0"
"201","","Kyle Juszczyk","SF","RB63","11","155","243","204.4","28.9","373.0","+172.0"
"202","","Carolina (CAR)","","DST10","4","194","229","204.4","7.7","191.0","-11.0"
"203","","Alfred Morris","SF","RB64","11","170","220","204.6","11.1","141.0","-62.0"
"204","","Anthony Miller","CHI","WR75","5","158","225","205.2","8.2","151.0","-53.0"
"205","","New York (NYJ)","","DST11","11","182","267","205.8","12.9","361.0","+156.0"
"206","","Wil Lutz","NO","K4","6","178","220","207.2","11.7","159.0","-47.0"
"207","","Greg Zuerlein","LAR","K5","12","181","256","208.0","32.3","120.0","-87.0"
"208","","Cameron Meredith","NO","WR76","6","167","236","209.2","16.2","145.0","-63.0"
"209","","Taywan Taylor","TEN","WR77","8","194","238","209.2","10.9","236.0","+27.0"
"210","","Charles Clay","BUF","TE25","11","189","274","210.2","19.1","192.0","-18.0"
"211","","Seattle (SEA)","","DST12","7","128","296","211.6","5.0","246.0","+35.0"
"212","","Jeff Heuerman","DEN","TE26","10","178","249","211.6","25.3","392.0","+180.0"
"213","","Harrison Butker","KC","K6","12","186","226","211.8","13.5","162.0","-51.0"
"214","","Devontae Booker","DEN","RB65","10","159","273","213.6","15.3","165.0","-49.0"
"215","","Jake Elliott","PHI","K7","9","196","275","214.8","13.4","166.0","-49.0"
"216","","Ryan Grant","IND","WR78","9","164","271","215.4","11.8","270.0","+54.0"
"217","","Cleveland (CLE)","","DST13","11","168","233","216.0","17.3","284.0","+67.0"
"218","","Tennessee (TEN)","","DST14","8","193","281","216.6","15.1","228.0","+10.0"
"219","","Michael Gallup","DAL","WR79","8","181","254","217.8","9.8","138.0","-81.0"
"220","","Allen Hurns","DAL","WR80","8","187","279","218.2","21.7","116.0","-104.0"
"221","","New England (NE)","","DST15","11","195","229","218.6","9.2","184.0","-37.0"
"222","","Jakeem Grant","MIA","WR81","11","202","236","219.0","7.0","287.0","+65.0"
"223","","Sam Darnold","NYJ","QB29","11","165","245","219.6","24.1","251.0","+28.0"
"224","","Matt Prater","DET","K8","6","212","238","222.2","9.4","178.0","-46.0"
"225","","Seth Roberts","OAK","WR82","7","196","307","224.0","25.1","437.0","+212.0"
"226","","Martavis Bryant","OAK","WR83","7","204","247","224.4","12.5","214.0","-12.0"
"227","","Malcolm Brown","LAR","RB66","12","163","302","224.8","50.7","304.0","+77.0"
"228","","LeGarrette Blount","DET","RB67","6","170","332","225.6","27.3","149.0","-79.0"
"229","","Dan Bailey","MIN","K9","10","196","241","226.2","10.2","260.0","+31.0"
"230","","Josh Doctson","WAS","WR84","4","206","259","226.2","12.9","142.0","-88.0"
"231","","Jermaine Kearse","NYJ","WR85","11","171","304","226.4","21.7","259.0","+28.0"
"232","","Jesse James","PIT","TE27","7","150","278","228.4","37.2","313.0","+81.0"
"233","","Tajae Sharpe","TEN","WR86","8","140","385","238.6","81.3","397.0","+164.0"
"234","","Darren Sproles","PHI","RB68","9","172","277","231.0","38.3","241.0","+7.0"
"235","","Chris Boswell","PIT","K10","7","224","271","231.6","6.8","161.0","-74.0"
"236","","D'Onta Foreman","HOU ","RB69","10","131","287","232.8","31.9","199.0","-37.0"
"237","","Phillip Dorsett","NE","WR87","11","210","247","233.0","14.0","243.0","+6.0"
"238","","John Ross","CIN","WR88","9","205","264","234.0","24.9","164.0","-74.0"
"239","","Rashard Higgins","CLE","WR89","11","205","280","234.4","27.9","405.0","+166.0"
"240","","Kenneth Dixon","BAL ","RB70","10","154","244","208.3","37.4","238.0","-2.0"
"241","","Mason Crosby","GB","K11","7","210","250","236.0","12.0","186.0","-55.0"
"242","","Washington (WAS)","","DST16","4","168","362","236.2","38.9","321.0","+79.0"
"243","","Geoff Swaim","DAL","TE28","8","189","322","236.2","25.1","310.0","+67.0"
"244","","Dante Pettis","SF","WR90","11","216","287","239.2","26.2","258.0","+14.0"
"245","","Zay Jones","BUF","WR91","11","219","259","239.2","10.8","308.0","+63.0"
"246","","Josh Rosen","ARI","QB30","9","191","265","239.8","14.0","275.0","+29.0"
"247","","Rod Smith","DAL","RB71","8","188","299","241.8","35.2","257.0","+10.0"
"248","","Jordan Wilkins","IND","RB72","9","207","258","241.8","8.9","150.0","-98.0"
"249","","Robbie Gould","SF","K12","11","219","316","244.4","26.4","171.0","-78.0"
"250","","Ed Dickson","SEA","TE29","7","188","359","244.8","18.8","288.0","+38.0"
"251","","C.J. Anderson","CAR","RB73","4","221","272","246.8","20.4","119.0","-132.0"
"252","","Trenton Cannon","NYJ","RB74","11","177","197","187.3","8.2","409.0","+157.0"
"253","","Graham Gano","CAR","K13","4","241","274","251.0","5.3","220.0","-33.0"
"254","","James Washington","PIT","WR92","7","224","294","251.6","23.0","229.0","-25.0"
"255","","Cordarrelle Patterson","NE","WR93","11","200","276","252.4","16.7","252.0","-3.0"
"256","","Chris Conley","KC","WR94","12","228","303","254.2","16.6","456.0","+200.0"
"257","","Cincinnati (CIN)","","DST17","9","233","302","254.2","13.1","306.0","+49.0"
"258","","Adam Humphries","TB","WR95","5","162","294","255.0","28.3","338.0","+80.0"
"259","","Curtis Samuel","CAR","WR96","4","208","276","255.4","14.6","336.0","+77.0"
"260","","Mike Gesicki","MIA","TE30","11","247","275","255.4","10.0","204.0","-56.0"
"261","","Jameis Winston","TB","QB31","5","127","335","255.8","62.3","177.0","-84.0"
"262","","Chad Williams","ARI","WR97","9","230","304","255.8","15.4","385.0","+123.0"
"263","","Dallas (DAL)","","DST18","8","173","340","257.0","27.3","274.0","+11.0"
"264","","Nick Vannett","SEA","TE31","7","223","275","257.2","17.8","285.0","+21.0"
"265","","Pittsburgh (PIT)","","DST19","7","229","311","261.0","29.1","185.0","-80.0"
"266","","Green Bay (GB)","","DST20","7","211","313","261.2","27.8","281.0","+15.0"
"267","","Ryan Succop","TEN","K14","8","241","313","263.6","15.3","235.0","-32.0"
"268","","Adam Vinatieri","IND","K15","9","228","281","264.0","14.1","201.0","-67.0"
"269","","Antonio Gates","LAC","TE32","8","232","283","264.0","18.3","200.0","-69.0"
"270","","Miami (MIA)","","DST21","11","223","270","264.8","4.3","367.0","+97.0"
"271","","Josh Reynolds","LAR","WR98","12","204","360","248.3","64.7","487.0","+216.0"
"272","","Alfred Blue","HOU","RB75","10","216","277","265.2","13.4","320.0","+48.0"
"273","","Laquon Treadwell","MIN","WR99","10","176","287","267.0","15.6","293.0","+20.0"
"274","","Buffalo (BUF)","","DST22","11","177","338","267.8","35.0","303.0","+29.0"
"275","","Cody Parkey","CHI","K16","5","253","284","267.8","13.6","348.0","+73.0"
"276","","New Orleans (NO)","","DST23","6","233","290","269.2","11.9","176.0","-100.0"
"277","","Trent Taylor","SF","WR100","11","213","287","250.3","27.9","345.0","+68.0"
"278","","Jordan Matthews","PHI","WR101","9","184","246","219.0","25.9","295.0","+17.0"
"279","","DeAndre Washington","OAK","RB76","7","216","343","270.6","45.6","365.0","+86.0"
"280","","Wayne Gallman","NYG","RB77","9","239","297","271.2","18.6","282.0","+2.0"
"281","","Vernon Davis","WAS","TE33","4","250","288","273.4","14.5","265.0","-16.0"
"282","","Josh Lambo","JAC","K17","9","250","281","273.6","6.3","256.0","-26.0"
"283","","Brandon McManus","DEN","K18","10","240","297","275.8","17.0","254.0","-29.0"
"284","","D.J. Chark","JAC","WR102","9","163","325","276.2","35.1","286.0","+2.0"
"285","","Terrelle Pryor","BUF","WR103","11","212","340","259.3","49.8","248.0","-37.0"
"286","","Chase Edmonds","ARI","RB78","9","268","290","278.4","9.6","239.0","-47.0"
"287","","Equanimeous St. Brown","GB","WR104","7","247","304","281.4","19.1","414.0","+127.0"
"288","","Chandler Catanzaro","TB","K19","5","269","313","282.2","8.6","356.0","+68.0"
"289","","Torrey Smith","CAR","WR105","4","195","292","283.0","9.8","322.0","+33.0"
"290","","Arizona (ARI)","","DST24","9","203","337","283.4","34.2","197.0","-93.0"
"291","","Mark Andrews","BAL","TE34","10","201","322","283.6","24.3","327.0","+36.0"
"292","","Jordan Thomas","HOU","TE35","10","248","319","268.8","29.2","",""
"293","","Kenjon Barner","NE","RB79","11","177","207","192.0","15.0","",""
"294","","Brock Osweiler","MIA","QB32","11","229","303","286.2","20.0","393.0","+99.0"
"295","","Ryan Tannehill","MIA","QB33","11","214","324","287.0","30.3","226.0","-69.0"
"296","","Jacquizz Rodgers","TB","RB80","5","216","301","287.4","21.9","369.0","+73.0"
"297","","Dontrelle Inman","IND","WR106","9","225","266","249.3","17.6","",""
"298","","Caleb Sturgis","LAC","K20","8","272","291","288.6","3.5","309.0","+11.0"
"299","","Kansas City (KC)","","DST25","12","195","334","291.8","51.0","244.0","-55.0"
"300","","Travis Benjamin","LAC","WR107","8","248","312","279.0","23.5","268.0","-32.0"
