"Rank","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"72","","David Njoku","CLE","TE6","11","66","114","84.3","9.9","109.0","+37.0"
"73","","Carson Wentz","PHI","QB9","9","59","110","87.3","7.5","70.0","-3.0"
"74","","DeSean Jackson","TB","WR29","5","60","101","87.3","8.0","189.0","+115.0"
"75","","Ben Roethlisberger","PIT","QB10","7","72","115","94.6","8.5","93.0","+18.0"
"76","","Philip Rivers","LAC","QB11","8","71","110","96.6","5.0","101.0","+25.0"
"77","","Alex Collins","BAL","RB31","10","46","94","55.7","4.6","31.0","-46.0"
"78","","LeSean McCoy","BUF","RB32","11","38","85","59.2","8.0","26.0","-52.0"
"79","","Aaron Jones","GB","RB33","7","45","85","65.3","7.9","111.0","+32.0"
"80","","Matthew Stafford","DET","QB12","6","69","116","107.0","7.7","91.0","+11.0"
"81","","Allen Robinson","CHI","WR30","5","48","101","68.0","5.4","52.0","-29.0"
"82","","Jared Goff","LAR","QB13","12","48","98","68.0","9.9","107.0","+25.0"
"83","","Sammy Watkins","KC","WR31","12","39","81","70.7","5.2","80.0","-3.0"
"84","","Trey Burton","CHI","TE7","5","66","123","76.2","5.1","81.0","-3.0"
"85","","Demaryius Thomas","HOU","WR32","10","70","96","81.7","8.0","47.0","-38.0"
"86","","Amari Cooper","DAL","WR33","8","65","111","83.3","8.6","34.0","-52.0"
"87","","Calvin Ridley","ATL","WR34","8","75","101","83.5","3.8","118.0","+31.0"
"88","","Jared Cook","OAK","TE8","7","34","126","84.3","15.9","193.0","+105.0"
"89","","Devin Funchess","CAR","WR35","4","58","97","86.2","8.2","85.0","-4.0"
"90","","Tyler Lockett","SEA","WR36","7","63","105","87.2","11.9","148.0","+58.0"
"91","","Deshaun Watson","HOU","QB14","10","72","95","87.3","4.2","36.0","-55.0"
"92","","Michael Crabtree","BAL","WR37","10","50","103","88.8","7.1","68.0","-24.0"
"93","","Corey Davis","TEN","WR38","8","61","118","89.8","11.4","65.0","-28.0"
"94","","Courtland Sutton","DEN","WR39","10","66","166","91.0","25.4","182.0","+88.0"
"95","","Chris Thompson","WAS","RB34","4","54","167","93.0","21.4","92.0","-3.0"
"96","","O.J. Howard","TB","TE9","5","73","116","93.7","12.5","147.0","+51.0"
"97","","Peyton Barber","TB","RB35","5","71","131","94.8","11.2","97.0","0.0"
"98","","Doug Martin","OAK","RB36","7","82","136","98.2","10.0","156.0","+58.0"
"99","","Geronimo Allison","GB","WR40","7","79","140","99.0","10.6","174.0","+75.0"
"100","","Russell Wilson","SEA","QB15","7","61","115","99.3","9.9","48.0","-52.0"
"101","","Austin Ekeler","LAC","RB37","8","82","137","99.3","10.2","164.0","+63.0"
"102","","Larry Fitzgerald","ARI","WR41","9","76","110","99.5","4.8","42.0","-60.0"
"103","","Sterling Shepard","NYG","WR42","9","88","119","99.5","5.9","108.0","+5.0"
"104","","Chris Godwin","TB","WR43","5","85","116","100.8","7.3","161.0","+57.0"
"105","","Mitch Trubisky","CHI","QB16","5","67","116","105.7","7.2","176.0","+71.0"
"106","","Marquise Goodwin","SF","WR44","11","76","143","105.8","11.5","64.0","-42.0"
"107","","Jalen Richard","OAK","RB38","7","82","139","107.3","11.2","330.0","+223.0"
"108","","Taylor Gabriel","CHI","WR45","5","78","192","107.5","21.7","357.0","+249.0"
"109","","Jack Doyle","IND","TE10","9","73","156","108.0","11.1","116.0","+7.0"
"110","","Royce Freeman","DEN","RB39","10","86","162","108.2","10.4","40.0","-70.0"
"111","","Greg Olsen","CAR","TE11","4","75","139","109.5","21.6","59.0","-52.0"
"112","","Latavius Murray","MIN","RB40","10","64","150","111.7","8.7","130.0","+18.0"
"113","","Jordan Reed","WAS","TE12","4","94","131","112.0","11.1","88.0","-25.0"
"114","","Jordy Nelson","OAK","WR46","7","88","145","115.7","16.6","84.0","-30.0"
"115","","Andy Dalton","CIN","QB17","9","112","125","116.5","2.1","179.0","+64.0"
"116","","Ito Smith","ATL","RB41","8","94","136","117.7","11.3","410.0","+294.0"
"117","","Mohamed Sanu","ATL","WR47","8","107","144","118.8","10.1","151.0","+34.0"
"118","","Eric Ebron","IND","TE13","9","37","139","120.5","7.1","167.0","+49.0"
"119","","Evan Engram","NYG","TE14","9","96","139","122.3","8.9","66.0","-53.0"
"120","","Christian Kirk","ARI","WR48","9","111","176","123.3","6.5","209.0","+89.0"
"121","","T.J. Yeldon","JAC","RB42","9","91","188","126.3","18.4","200.0","+79.0"
"122","","Duke Johnson","CLE","RB43","11","95","190","126.5","5.9","106.0","-16.0"
"123","","Baker Mayfield","CLE","QB18","11","116","194","128.2","7.5","236.0","+113.0"
"124","","Kyle Rudolph","MIN","TE15","10","119","147","128.2","4.7","74.0","-50.0"
"125","","Carlos Hyde","JAC","RB44","9","109","156","128.5","10.0","58.0","-67.0"
"126","","Randall Cobb","GB","WR49","7","99","164","128.8","18.8","104.0","-22.0"
"127","","Tre'Quan Smith","NO","WR50","6","103","161","128.8","15.5","247.0","+120.0"
"128","","Devante Parker","MIA","WR51","11","99","189","130.0","17.6","119.0","-9.0"
"129","","Austin Hooper","ATL","TE16","8","118","147","131.7","9.0","210.0","+81.0"
"130","","Keke Coutee","HOU","WR52","10","102","160","132.2","10.3","322.0","+192.0"
"131","","Nyheim Hines","IND","RB45","9","111","179","134.7","13.3","206.0","+75.0"
"132","","Dak Prescott","DAL","QB19","8","118","195","135.2","10.5","136.0","+4.0"
"133","","Corey Clement","PHI","RB46","9","90","171","135.5","15.5","132.0","-1.0"
"134","","Mike Williams","LAC","WR53","8","113","165","135.7","11.3","123.0","-11.0"
"135","","Derrick Henry","TEN","RB47","8","124","151","136.3","9.6","35.0","-100.0"
"136","","Robby Anderson","NYJ","WR54","11","105","169","137.3","15.3","95.0","-41.0"
"137","","Frank Gore","MIA","RB48","11","92","235","137.5","7.4","183.0","+46.0"
"138","","Dede Westbrook","JAC","WR55","9","124","158","138.0","8.0","169.0","+31.0"
"139","","Wendell Smallwood","PHI","RB49","9","95","237","138.5","21.1","367.0","+228.0"
"140","","Nelson Agholor","PHI","WR56","9","104","183","140.8","22.3","103.0","-37.0"
"141","","Joe Flacco","BAL","QB20","10","123","162","141.5","6.9","248.0","+107.0"
"142","","Vance McDonald","PIT","TE17","7","103","171","142.8","9.9","235.0","+93.0"
"143","","Jamaal Williams","GB","RB50","7","128","156","143.0","5.3","67.0","-76.0"
"144","","Alex Smith","WAS","QB21","4","134","163","143.0","6.6","127.0","-17.0"
"145","","Tyrell Williams","LAC","WR57","8","113","246","145.3","31.4","175.0","+30.0"
"146","","Raheem Mostert","SF","RB51","11","116","201","146.3","17.9","",""
"147","","Donte Moncrief","JAC","WR58","9","127","165","148.5","10.0","216.0","+69.0"
